fill	ymin	ymax	xmin	xmax	showSelected1
#000000	0.01	0.02	0.05	2.45	10
#000000	0.02	0.03	0.05	2.45	10
#FF0000	0	0.01	2.55	4.95	10
#0000FF	0	0.01	5.05	7.45	10
#0000FF	0.01	0.02	5.05	7.45	10
#0000FF	0.02	0.03	5.05	7.45	10
#0000FF	0.03	0.04	5.05	7.45	10
#0000FF	0.04	0.05	5.05	7.45	10
#0000FF	0.05	0.06	5.05	7.45	10
#000000	0	0.01	0.05	2.45	11
#000000	0.01	0.02	0.05	2.45	11
#000000	0.02	0.03	0.05	2.45	11
#FF0000	0	0.01	2.55	4.95	11
#FF0000	0.01	0.02	2.55	4.95	11
#0000FF	0	0.01	5.05	7.45	11
#0000FF	0.01	0.02	5.05	7.45	11
#0000FF	0.02	0.03	5.05	7.45	11
#0000FF	0.03	0.04	5.05	7.45	11
#0000FF	0.04	0.05	5.05	7.45	11
#0000FF	0.05	0.06	5.05	7.45	11
#000000	0	0.01	0.05	2.45	12
#000000	0.01	0.02	0.05	2.45	12
#000000	0.02	0.03	0.05	2.45	12
#FF0000	0	0.01	2.55	4.95	12
#FF0000	0.01	0.02	2.55	4.95	12
#0000FF	0	0.01	5.05	7.45	12
#0000FF	0.01	0.02	5.05	7.45	12
#0000FF	0.02	0.03	5.05	7.45	12
#0000FF	0.03	0.04	5.05	7.45	12
#0000FF	0.04	0.05	5.05	7.45	12
#0000FF	0.05	0.06	5.05	7.45	12
#0000FF	0.06	0.07	5.05	7.45	12
#000000	0	0.01	0.05	2.45	13
#000000	0.01	0.02	0.05	2.45	13
#000000	0.02	0.03	0.05	2.45	13
#FF0000	0	0.01	2.55	4.95	13
#FF0000	0.01	0.02	2.55	4.95	13
#0000FF	0	0.01	5.05	7.45	13
#0000FF	0.01	0.02	5.05	7.45	13
#0000FF	0.02	0.03	5.05	7.45	13
#0000FF	0.03	0.04	5.05	7.45	13
#0000FF	0.04	0.05	5.05	7.45	13
#0000FF	0.05	0.06	5.05	7.45	13
#0000FF	0.06	0.07	5.05	7.45	13
#0000FF	0.07	0.08	5.05	7.45	13
#000000	0	0.01	0.05	2.45	14
#000000	0.01	0.02	0.05	2.45	14
#000000	0.02	0.03	0.05	2.45	14
#FF0000	0	0.01	2.55	4.95	14
#FF0000	0.01	0.02	2.55	4.95	14
#0000FF	0	0.01	5.05	7.45	14
#0000FF	0.01	0.02	5.05	7.45	14
#0000FF	0.02	0.03	5.05	7.45	14
#0000FF	0.03	0.04	5.05	7.45	14
#0000FF	0.04	0.05	5.05	7.45	14
#0000FF	0.05	0.06	5.05	7.45	14
#0000FF	0.06	0.07	5.05	7.45	14
#0000FF	0.07	0.08	5.05	7.45	14
#0000FF	0.08	0.09	5.05	7.45	14
#000000	0	0.01	0.05	2.45	15
#000000	0.01	0.02	0.05	2.45	15
#000000	0.02	0.03	0.05	2.45	15
#000000	0.03	0.04	0.05	2.45	15
#FF0000	0	0.01	2.55	4.95	15
#FF0000	0.01	0.02	2.55	4.95	15
#0000FF	0	0.01	5.05	7.45	15
#0000FF	0.01	0.02	5.05	7.45	15
#0000FF	0.02	0.03	5.05	7.45	15
#0000FF	0.03	0.04	5.05	7.45	15
#0000FF	0.04	0.05	5.05	7.45	15
#0000FF	0.05	0.06	5.05	7.45	15
#0000FF	0.06	0.07	5.05	7.45	15
#0000FF	0.07	0.08	5.05	7.45	15
#0000FF	0.08	0.09	5.05	7.45	15
#000000	0	0.01	0.05	2.45	16
#000000	0.01	0.02	0.05	2.45	16
#000000	0.02	0.03	0.05	2.45	16
#000000	0.03	0.04	0.05	2.45	16
#FF0000	0	0.01	2.55	4.95	16
#FF0000	0.01	0.02	2.55	4.95	16
#0000FF	0	0.01	5.05	7.45	16
#0000FF	0.01	0.02	5.05	7.45	16
#0000FF	0.02	0.03	5.05	7.45	16
#0000FF	0.03	0.04	5.05	7.45	16
#0000FF	0.04	0.05	5.05	7.45	16
#0000FF	0.05	0.06	5.05	7.45	16
#0000FF	0.06	0.07	5.05	7.45	16
#0000FF	0.07	0.08	5.05	7.45	16
#0000FF	0.08	0.09	5.05	7.45	16
#0000FF	0.09	0.1	5.05	7.45	16
#000000	0	0.01	0.05	2.45	17
#000000	0.01	0.02	0.05	2.45	17
#000000	0.02	0.03	0.05	2.45	17
#000000	0.03	0.04	0.05	2.45	17
#000000	0.04	0.05	0.05	2.45	17
#FF0000	0	0.01	2.55	4.95	17
#FF0000	0.01	0.02	2.55	4.95	17
#0000FF	0	0.01	5.05	7.45	17
#0000FF	0.01	0.02	5.05	7.45	17
#0000FF	0.02	0.03	5.05	7.45	17
#0000FF	0.03	0.04	5.05	7.45	17
#0000FF	0.04	0.05	5.05	7.45	17
#0000FF	0.05	0.06	5.05	7.45	17
#0000FF	0.06	0.07	5.05	7.45	17
#0000FF	0.07	0.08	5.05	7.45	17
#0000FF	0.08	0.09	5.05	7.45	17
#0000FF	0.09	0.1	5.05	7.45	17
#000000	0	0.01	0.05	2.45	18
#000000	0.01	0.02	0.05	2.45	18
#000000	0.02	0.03	0.05	2.45	18
#000000	0.03	0.04	0.05	2.45	18
#000000	0.04	0.05	0.05	2.45	18
#000000	0.05	0.06	0.05	2.45	18
#FF0000	0	0.01	2.55	4.95	18
#FF0000	0.01	0.02	2.55	4.95	18
#0000FF	0	0.01	5.05	7.45	18
#0000FF	0.01	0.02	5.05	7.45	18
#0000FF	0.02	0.03	5.05	7.45	18
#0000FF	0.03	0.04	5.05	7.45	18
#0000FF	0.04	0.05	5.05	7.45	18
#0000FF	0.05	0.06	5.05	7.45	18
#0000FF	0.06	0.07	5.05	7.45	18
#0000FF	0.07	0.08	5.05	7.45	18
#0000FF	0.08	0.09	5.05	7.45	18
#0000FF	0.09	0.1	5.05	7.45	18
#000000	0	0.01	0.05	2.45	19
#000000	0.01	0.02	0.05	2.45	19
#000000	0.02	0.03	0.05	2.45	19
#000000	0.03	0.04	0.05	2.45	19
#000000	0.04	0.05	0.05	2.45	19
#000000	0.05	0.06	0.05	2.45	19
#000000	0.06	0.07	0.05	2.45	19
#FF0000	0	0.01	2.55	4.95	19
#FF0000	0.01	0.02	2.55	4.95	19
#0000FF	0	0.01	5.05	7.45	19
#0000FF	0.01	0.02	5.05	7.45	19
#0000FF	0.02	0.03	5.05	7.45	19
#0000FF	0.03	0.04	5.05	7.45	19
#0000FF	0.04	0.05	5.05	7.45	19
#0000FF	0.05	0.06	5.05	7.45	19
#0000FF	0.06	0.07	5.05	7.45	19
#0000FF	0.07	0.08	5.05	7.45	19
#0000FF	0.08	0.09	5.05	7.45	19
#0000FF	0.09	0.1	5.05	7.45	19
#000000	0	0.01	0.05	2.45	20
#000000	0.01	0.02	0.05	2.45	20
#000000	0.02	0.03	0.05	2.45	20
#000000	0.03	0.04	0.05	2.45	20
#000000	0.04	0.05	0.05	2.45	20
#000000	0.05	0.06	0.05	2.45	20
#000000	0.06	0.07	0.05	2.45	20
#FF0000	0	0.01	2.55	4.95	20
#FF0000	0.01	0.02	2.55	4.95	20
#FF0000	0.02	0.03	2.55	4.95	20
#0000FF	0	0.01	5.05	7.45	20
#0000FF	0.01	0.02	5.05	7.45	20
#0000FF	0.02	0.03	5.05	7.45	20
#0000FF	0.03	0.04	5.05	7.45	20
#0000FF	0.04	0.05	5.05	7.45	20
#0000FF	0.05	0.06	5.05	7.45	20
#0000FF	0.06	0.07	5.05	7.45	20
#0000FF	0.07	0.08	5.05	7.45	20
#0000FF	0.08	0.09	5.05	7.45	20
#0000FF	0.09	0.1	5.05	7.45	20
#000000	0	0.01	0.05	2.45	21
#000000	0.01	0.02	0.05	2.45	21
#000000	0.02	0.03	0.05	2.45	21
#000000	0.03	0.04	0.05	2.45	21
#000000	0.04	0.05	0.05	2.45	21
#000000	0.05	0.06	0.05	2.45	21
#000000	0.06	0.07	0.05	2.45	21
#FF0000	0	0.01	2.55	4.95	21
#FF0000	0.01	0.02	2.55	4.95	21
#FF0000	0.02	0.03	2.55	4.95	21
#0000FF	0	0.01	5.05	7.45	21
#0000FF	0.01	0.02	5.05	7.45	21
#0000FF	0.02	0.03	5.05	7.45	21
#0000FF	0.03	0.04	5.05	7.45	21
#0000FF	0.04	0.05	5.05	7.45	21
#0000FF	0.05	0.06	5.05	7.45	21
#0000FF	0.06	0.07	5.05	7.45	21
#0000FF	0.07	0.08	5.05	7.45	21
#0000FF	0.08	0.09	5.05	7.45	21
#0000FF	0.09	0.1	5.05	7.45	21
#0000FF	0.1	0.11	5.05	7.45	21
#000000	0	0.01	0.05	2.45	22
#000000	0.01	0.02	0.05	2.45	22
#000000	0.02	0.03	0.05	2.45	22
#000000	0.03	0.04	0.05	2.45	22
#000000	0.04	0.05	0.05	2.45	22
#000000	0.05	0.06	0.05	2.45	22
#000000	0.06	0.07	0.05	2.45	22
#FF0000	0	0.01	2.55	4.95	22
#FF0000	0.01	0.02	2.55	4.95	22
#FF0000	0.02	0.03	2.55	4.95	22
#0000FF	0	0.01	5.05	7.45	22
#0000FF	0.01	0.02	5.05	7.45	22
#0000FF	0.02	0.03	5.05	7.45	22
#0000FF	0.03	0.04	5.05	7.45	22
#0000FF	0.04	0.05	5.05	7.45	22
#0000FF	0.05	0.06	5.05	7.45	22
#0000FF	0.06	0.07	5.05	7.45	22
#0000FF	0.07	0.08	5.05	7.45	22
#0000FF	0.08	0.09	5.05	7.45	22
#0000FF	0.09	0.1	5.05	7.45	22
#0000FF	0.1	0.11	5.05	7.45	22
#0000FF	0.11	0.12	5.05	7.45	22
#000000	0	0.01	0.05	2.45	23
#000000	0.01	0.02	0.05	2.45	23
#000000	0.02	0.03	0.05	2.45	23
#000000	0.03	0.04	0.05	2.45	23
#000000	0.04	0.05	0.05	2.45	23
#000000	0.05	0.06	0.05	2.45	23
#000000	0.06	0.07	0.05	2.45	23
#FF0000	0	0.01	2.55	4.95	23
#FF0000	0.01	0.02	2.55	4.95	23
#FF0000	0.02	0.03	2.55	4.95	23
#0000FF	0	0.01	5.05	7.45	23
#0000FF	0.01	0.02	5.05	7.45	23
#0000FF	0.02	0.03	5.05	7.45	23
#0000FF	0.03	0.04	5.05	7.45	23
#0000FF	0.04	0.05	5.05	7.45	23
#0000FF	0.05	0.06	5.05	7.45	23
#0000FF	0.06	0.07	5.05	7.45	23
#0000FF	0.07	0.08	5.05	7.45	23
#0000FF	0.08	0.09	5.05	7.45	23
#0000FF	0.09	0.1	5.05	7.45	23
#0000FF	0.1	0.11	5.05	7.45	23
#0000FF	0.11	0.12	5.05	7.45	23
#0000FF	0.12	0.13	5.05	7.45	23
#000000	0	0.01	0.05	2.45	24
#000000	0.01	0.02	0.05	2.45	24
#000000	0.02	0.03	0.05	2.45	24
#000000	0.03	0.04	0.05	2.45	24
#000000	0.04	0.05	0.05	2.45	24
#000000	0.05	0.06	0.05	2.45	24
#000000	0.06	0.07	0.05	2.45	24
#FF0000	0	0.01	2.55	4.95	24
#FF0000	0.01	0.02	2.55	4.95	24
#FF0000	0.02	0.03	2.55	4.95	24
#FF0000	0.03	0.04	2.55	4.95	24
#0000FF	0	0.01	5.05	7.45	24
#0000FF	0.01	0.02	5.05	7.45	24
#0000FF	0.02	0.03	5.05	7.45	24
#0000FF	0.03	0.04	5.05	7.45	24
#0000FF	0.04	0.05	5.05	7.45	24
#0000FF	0.05	0.06	5.05	7.45	24
#0000FF	0.06	0.07	5.05	7.45	24
#0000FF	0.07	0.08	5.05	7.45	24
#0000FF	0.08	0.09	5.05	7.45	24
#0000FF	0.09	0.1	5.05	7.45	24
#0000FF	0.1	0.11	5.05	7.45	24
#0000FF	0.11	0.12	5.05	7.45	24
#0000FF	0.12	0.13	5.05	7.45	24
#000000	0	0.01	0.05	2.45	25
#000000	0.01	0.02	0.05	2.45	25
#000000	0.02	0.03	0.05	2.45	25
#000000	0.03	0.04	0.05	2.45	25
#000000	0.04	0.05	0.05	2.45	25
#000000	0.05	0.06	0.05	2.45	25
#000000	0.06	0.07	0.05	2.45	25
#FF0000	0	0.01	2.55	4.95	25
#FF0000	0.01	0.02	2.55	4.95	25
#FF0000	0.02	0.03	2.55	4.95	25
#FF0000	0.03	0.04	2.55	4.95	25
#0000FF	0	0.01	5.05	7.45	25
#0000FF	0.01	0.02	5.05	7.45	25
#0000FF	0.02	0.03	5.05	7.45	25
#0000FF	0.03	0.04	5.05	7.45	25
#0000FF	0.04	0.05	5.05	7.45	25
#0000FF	0.05	0.06	5.05	7.45	25
#0000FF	0.06	0.07	5.05	7.45	25
#0000FF	0.07	0.08	5.05	7.45	25
#0000FF	0.08	0.09	5.05	7.45	25
#0000FF	0.09	0.1	5.05	7.45	25
#0000FF	0.1	0.11	5.05	7.45	25
#0000FF	0.11	0.12	5.05	7.45	25
#0000FF	0.12	0.13	5.05	7.45	25
#0000FF	0.13	0.14	5.05	7.45	25
#000000	0	0.01	0.05	2.45	26
#000000	0.01	0.02	0.05	2.45	26
#000000	0.02	0.03	0.05	2.45	26
#000000	0.03	0.04	0.05	2.45	26
#000000	0.04	0.05	0.05	2.45	26
#000000	0.05	0.06	0.05	2.45	26
#000000	0.06	0.07	0.05	2.45	26
#FF0000	0	0.01	2.55	4.95	26
#FF0000	0.01	0.02	2.55	4.95	26
#FF0000	0.02	0.03	2.55	4.95	26
#FF0000	0.03	0.04	2.55	4.95	26
#0000FF	0	0.01	5.05	7.45	26
#0000FF	0.01	0.02	5.05	7.45	26
#0000FF	0.02	0.03	5.05	7.45	26
#0000FF	0.03	0.04	5.05	7.45	26
#0000FF	0.04	0.05	5.05	7.45	26
#0000FF	0.05	0.06	5.05	7.45	26
#0000FF	0.06	0.07	5.05	7.45	26
#0000FF	0.07	0.08	5.05	7.45	26
#0000FF	0.08	0.09	5.05	7.45	26
#0000FF	0.09	0.1	5.05	7.45	26
#0000FF	0.1	0.11	5.05	7.45	26
#0000FF	0.11	0.12	5.05	7.45	26
#0000FF	0.12	0.13	5.05	7.45	26
#0000FF	0.13	0.14	5.05	7.45	26
#0000FF	0.14	0.15	5.05	7.45	26
#000000	0	0.01	0.05	2.45	27
#000000	0.01	0.02	0.05	2.45	27
#000000	0.02	0.03	0.05	2.45	27
#000000	0.03	0.04	0.05	2.45	27
#000000	0.04	0.05	0.05	2.45	27
#000000	0.05	0.06	0.05	2.45	27
#000000	0.06	0.07	0.05	2.45	27
#FF0000	0	0.01	2.55	4.95	27
#FF0000	0.01	0.02	2.55	4.95	27
#FF0000	0.02	0.03	2.55	4.95	27
#FF0000	0.03	0.04	2.55	4.95	27
#0000FF	0	0.01	5.05	7.45	27
#0000FF	0.01	0.02	5.05	7.45	27
#0000FF	0.02	0.03	5.05	7.45	27
#0000FF	0.03	0.04	5.05	7.45	27
#0000FF	0.04	0.05	5.05	7.45	27
#0000FF	0.05	0.06	5.05	7.45	27
#0000FF	0.06	0.07	5.05	7.45	27
#0000FF	0.07	0.08	5.05	7.45	27
#0000FF	0.08	0.09	5.05	7.45	27
#0000FF	0.09	0.1	5.05	7.45	27
#0000FF	0.1	0.11	5.05	7.45	27
#0000FF	0.11	0.12	5.05	7.45	27
#0000FF	0.12	0.13	5.05	7.45	27
#0000FF	0.13	0.14	5.05	7.45	27
#0000FF	0.14	0.15	5.05	7.45	27
#0000FF	0.15	0.16	5.05	7.45	27
#000000	0	0.01	0.05	2.45	28
#000000	0.01	0.02	0.05	2.45	28
#000000	0.02	0.03	0.05	2.45	28
#000000	0.03	0.04	0.05	2.45	28
#000000	0.04	0.05	0.05	2.45	28
#000000	0.05	0.06	0.05	2.45	28
#000000	0.06	0.07	0.05	2.45	28
#FF0000	0	0.01	2.55	4.95	28
#FF0000	0.01	0.02	2.55	4.95	28
#FF0000	0.02	0.03	2.55	4.95	28
#FF0000	0.03	0.04	2.55	4.95	28
#0000FF	0	0.01	5.05	7.45	28
#0000FF	0.01	0.02	5.05	7.45	28
#0000FF	0.02	0.03	5.05	7.45	28
#0000FF	0.03	0.04	5.05	7.45	28
#0000FF	0.04	0.05	5.05	7.45	28
#0000FF	0.05	0.06	5.05	7.45	28
#0000FF	0.06	0.07	5.05	7.45	28
#0000FF	0.07	0.08	5.05	7.45	28
#0000FF	0.08	0.09	5.05	7.45	28
#0000FF	0.09	0.1	5.05	7.45	28
#0000FF	0.1	0.11	5.05	7.45	28
#0000FF	0.11	0.12	5.05	7.45	28
#0000FF	0.12	0.13	5.05	7.45	28
#0000FF	0.13	0.14	5.05	7.45	28
#0000FF	0.14	0.15	5.05	7.45	28
#0000FF	0.15	0.16	5.05	7.45	28
#0000FF	0.16	0.17	5.05	7.45	28
#000000	0	0.01	0.05	2.45	29
#000000	0.01	0.02	0.05	2.45	29
#000000	0.02	0.03	0.05	2.45	29
#000000	0.03	0.04	0.05	2.45	29
#000000	0.04	0.05	0.05	2.45	29
#000000	0.05	0.06	0.05	2.45	29
#000000	0.06	0.07	0.05	2.45	29
#000000	0.07	0.08	0.05	2.45	29
#FF0000	0	0.01	2.55	4.95	29
#FF0000	0.01	0.02	2.55	4.95	29
#FF0000	0.02	0.03	2.55	4.95	29
#FF0000	0.03	0.04	2.55	4.95	29
#0000FF	0	0.01	5.05	7.45	29
#0000FF	0.01	0.02	5.05	7.45	29
#0000FF	0.02	0.03	5.05	7.45	29
#0000FF	0.03	0.04	5.05	7.45	29
#0000FF	0.04	0.05	5.05	7.45	29
#0000FF	0.05	0.06	5.05	7.45	29
#0000FF	0.06	0.07	5.05	7.45	29
#0000FF	0.07	0.08	5.05	7.45	29
#0000FF	0.08	0.09	5.05	7.45	29
#0000FF	0.09	0.1	5.05	7.45	29
#0000FF	0.1	0.11	5.05	7.45	29
#0000FF	0.11	0.12	5.05	7.45	29
#0000FF	0.12	0.13	5.05	7.45	29
#0000FF	0.13	0.14	5.05	7.45	29
#0000FF	0.14	0.15	5.05	7.45	29
#0000FF	0.15	0.16	5.05	7.45	29
#0000FF	0.16	0.17	5.05	7.45	29
#000000	0	0.01	0.05	2.45	30
#000000	0.01	0.02	0.05	2.45	30
#000000	0.02	0.03	0.05	2.45	30
#000000	0.03	0.04	0.05	2.45	30
#000000	0.04	0.05	0.05	2.45	30
#000000	0.05	0.06	0.05	2.45	30
#000000	0.06	0.07	0.05	2.45	30
#000000	0.07	0.08	0.05	2.45	30
#000000	0.08	0.09	0.05	2.45	30
#FF0000	0	0.01	2.55	4.95	30
#FF0000	0.01	0.02	2.55	4.95	30
#FF0000	0.02	0.03	2.55	4.95	30
#FF0000	0.03	0.04	2.55	4.95	30
#0000FF	0	0.01	5.05	7.45	30
#0000FF	0.01	0.02	5.05	7.45	30
#0000FF	0.02	0.03	5.05	7.45	30
#0000FF	0.03	0.04	5.05	7.45	30
#0000FF	0.04	0.05	5.05	7.45	30
#0000FF	0.05	0.06	5.05	7.45	30
#0000FF	0.06	0.07	5.05	7.45	30
#0000FF	0.07	0.08	5.05	7.45	30
#0000FF	0.08	0.09	5.05	7.45	30
#0000FF	0.09	0.1	5.05	7.45	30
#0000FF	0.1	0.11	5.05	7.45	30
#0000FF	0.11	0.12	5.05	7.45	30
#0000FF	0.12	0.13	5.05	7.45	30
#0000FF	0.13	0.14	5.05	7.45	30
#0000FF	0.14	0.15	5.05	7.45	30
#0000FF	0.15	0.16	5.05	7.45	30
#0000FF	0.16	0.17	5.05	7.45	30
#000000	0	0.01	0.05	2.45	31
#000000	0.01	0.02	0.05	2.45	31
#000000	0.02	0.03	0.05	2.45	31
#000000	0.03	0.04	0.05	2.45	31
#000000	0.04	0.05	0.05	2.45	31
#000000	0.05	0.06	0.05	2.45	31
#000000	0.06	0.07	0.05	2.45	31
#000000	0.07	0.08	0.05	2.45	31
#000000	0.08	0.09	0.05	2.45	31
#FF0000	0	0.01	2.55	4.95	31
#FF0000	0.01	0.02	2.55	4.95	31
#FF0000	0.02	0.03	2.55	4.95	31
#FF0000	0.03	0.04	2.55	4.95	31
#FF0000	0.04	0.05	2.55	4.95	31
#0000FF	0	0.01	5.05	7.45	31
#0000FF	0.01	0.02	5.05	7.45	31
#0000FF	0.02	0.03	5.05	7.45	31
#0000FF	0.03	0.04	5.05	7.45	31
#0000FF	0.04	0.05	5.05	7.45	31
#0000FF	0.05	0.06	5.05	7.45	31
#0000FF	0.06	0.07	5.05	7.45	31
#0000FF	0.07	0.08	5.05	7.45	31
#0000FF	0.08	0.09	5.05	7.45	31
#0000FF	0.09	0.1	5.05	7.45	31
#0000FF	0.1	0.11	5.05	7.45	31
#0000FF	0.11	0.12	5.05	7.45	31
#0000FF	0.12	0.13	5.05	7.45	31
#0000FF	0.13	0.14	5.05	7.45	31
#0000FF	0.14	0.15	5.05	7.45	31
#0000FF	0.15	0.16	5.05	7.45	31
#0000FF	0.16	0.17	5.05	7.45	31
#000000	0	0.01	0.05	2.45	32
#000000	0.01	0.02	0.05	2.45	32
#000000	0.02	0.03	0.05	2.45	32
#000000	0.03	0.04	0.05	2.45	32
#000000	0.04	0.05	0.05	2.45	32
#000000	0.05	0.06	0.05	2.45	32
#000000	0.06	0.07	0.05	2.45	32
#000000	0.07	0.08	0.05	2.45	32
#000000	0.08	0.09	0.05	2.45	32
#FF0000	0	0.01	2.55	4.95	32
#FF0000	0.01	0.02	2.55	4.95	32
#FF0000	0.02	0.03	2.55	4.95	32
#FF0000	0.03	0.04	2.55	4.95	32
#FF0000	0.04	0.05	2.55	4.95	32
#FF0000	0.05	0.06	2.55	4.95	32
#0000FF	0	0.01	5.05	7.45	32
#0000FF	0.01	0.02	5.05	7.45	32
#0000FF	0.02	0.03	5.05	7.45	32
#0000FF	0.03	0.04	5.05	7.45	32
#0000FF	0.04	0.05	5.05	7.45	32
#0000FF	0.05	0.06	5.05	7.45	32
#0000FF	0.06	0.07	5.05	7.45	32
#0000FF	0.07	0.08	5.05	7.45	32
#0000FF	0.08	0.09	5.05	7.45	32
#0000FF	0.09	0.1	5.05	7.45	32
#0000FF	0.1	0.11	5.05	7.45	32
#0000FF	0.11	0.12	5.05	7.45	32
#0000FF	0.12	0.13	5.05	7.45	32
#0000FF	0.13	0.14	5.05	7.45	32
#0000FF	0.14	0.15	5.05	7.45	32
#0000FF	0.15	0.16	5.05	7.45	32
#0000FF	0.16	0.17	5.05	7.45	32
#000000	0	0.01	0.05	2.45	33
#000000	0.01	0.02	0.05	2.45	33
#000000	0.02	0.03	0.05	2.45	33
#000000	0.03	0.04	0.05	2.45	33
#000000	0.04	0.05	0.05	2.45	33
#000000	0.05	0.06	0.05	2.45	33
#000000	0.06	0.07	0.05	2.45	33
#000000	0.07	0.08	0.05	2.45	33
#000000	0.08	0.09	0.05	2.45	33
#FF0000	0	0.01	2.55	4.95	33
#FF0000	0.01	0.02	2.55	4.95	33
#FF0000	0.02	0.03	2.55	4.95	33
#FF0000	0.03	0.04	2.55	4.95	33
#FF0000	0.04	0.05	2.55	4.95	33
#FF0000	0.05	0.06	2.55	4.95	33
#0000FF	0	0.01	5.05	7.45	33
#0000FF	0.01	0.02	5.05	7.45	33
#0000FF	0.02	0.03	5.05	7.45	33
#0000FF	0.03	0.04	5.05	7.45	33
#0000FF	0.04	0.05	5.05	7.45	33
#0000FF	0.05	0.06	5.05	7.45	33
#0000FF	0.06	0.07	5.05	7.45	33
#0000FF	0.07	0.08	5.05	7.45	33
#0000FF	0.08	0.09	5.05	7.45	33
#0000FF	0.09	0.1	5.05	7.45	33
#0000FF	0.1	0.11	5.05	7.45	33
#0000FF	0.11	0.12	5.05	7.45	33
#0000FF	0.12	0.13	5.05	7.45	33
#0000FF	0.13	0.14	5.05	7.45	33
#0000FF	0.14	0.15	5.05	7.45	33
#0000FF	0.15	0.16	5.05	7.45	33
#0000FF	0.16	0.17	5.05	7.45	33
#0000FF	0.17	0.18	5.05	7.45	33
#000000	0	0.01	0.05	2.45	34
#000000	0.01	0.02	0.05	2.45	34
#000000	0.02	0.03	0.05	2.45	34
#000000	0.03	0.04	0.05	2.45	34
#000000	0.04	0.05	0.05	2.45	34
#000000	0.05	0.06	0.05	2.45	34
#000000	0.06	0.07	0.05	2.45	34
#000000	0.07	0.08	0.05	2.45	34
#000000	0.08	0.09	0.05	2.45	34
#FF0000	0	0.01	2.55	4.95	34
#FF0000	0.01	0.02	2.55	4.95	34
#FF0000	0.02	0.03	2.55	4.95	34
#FF0000	0.03	0.04	2.55	4.95	34
#FF0000	0.04	0.05	2.55	4.95	34
#FF0000	0.05	0.06	2.55	4.95	34
#0000FF	0	0.01	5.05	7.45	34
#0000FF	0.01	0.02	5.05	7.45	34
#0000FF	0.02	0.03	5.05	7.45	34
#0000FF	0.03	0.04	5.05	7.45	34
#0000FF	0.04	0.05	5.05	7.45	34
#0000FF	0.05	0.06	5.05	7.45	34
#0000FF	0.06	0.07	5.05	7.45	34
#0000FF	0.07	0.08	5.05	7.45	34
#0000FF	0.08	0.09	5.05	7.45	34
#0000FF	0.09	0.1	5.05	7.45	34
#0000FF	0.1	0.11	5.05	7.45	34
#0000FF	0.11	0.12	5.05	7.45	34
#0000FF	0.12	0.13	5.05	7.45	34
#0000FF	0.13	0.14	5.05	7.45	34
#0000FF	0.14	0.15	5.05	7.45	34
#0000FF	0.15	0.16	5.05	7.45	34
#0000FF	0.16	0.17	5.05	7.45	34
#0000FF	0.17	0.18	5.05	7.45	34
#0000FF	0.18	0.19	5.05	7.45	34
#000000	0	0.01	0.05	2.45	35
#000000	0.01	0.02	0.05	2.45	35
#000000	0.02	0.03	0.05	2.45	35
#000000	0.03	0.04	0.05	2.45	35
#000000	0.04	0.05	0.05	2.45	35
#000000	0.05	0.06	0.05	2.45	35
#000000	0.06	0.07	0.05	2.45	35
#000000	0.07	0.08	0.05	2.45	35
#000000	0.08	0.09	0.05	2.45	35
#000000	0.09	0.1	0.05	2.45	35
